Document type;Authors;Title;Source;Full journal;Publication year;Volume;Issue;Pages;Folders filed in;Publisher;Date published;ISSN;ISSN (alt.);URLs;DOI;Abstract;Keywords
Book;Ren C,Dong J,Ding H,Wang W;Linking strategic objectives to operations: towards a more effective supply chain decision making;;;2006;;;;"References;mestrado;mestrado/with pdf";;2006;;;http://dx.doi.org/10.1109/wsc.2006.323243;10.1109/wsc.2006.323243;Supply chain managers today face an unremitting challenge to their capabilities in both the volume and complexity of factors to be reconciled. In order to achieve more effective decision making, it is very necessary to link strategic objectives to operational actions. However, little is available to guide managers in translating a set of objectives into operations so far. This paper presents a comprehensive methodology to address this gap. In this methodology, strategic objectives are translated into performance metrics by qualitative strategy map and metric network firstly, and then quantitative techniques such as system dynamics simulation and optimization are adopted to take managers through the stages of strategy mapping, action evaluation and decision making. A case study, supported by a software tool, is carried out throughout the paper to illustrate how the method works.;
Journal Article;Reijers HA,Vanderfeesten I,Plomp MG,Van Gorp P,Fahland D,Van Der Crommert WL,Garcia HD;Evaluating data-centric process approaches: Does the human factor factor in?;Softw. Syst. Model.;Software & Systems Modeling;2017;;;;"References;mestrado;mestrado/with pdf";;2017;1619-1366;1619-1374;http://dx.doi.org/10.1007/s10270-015-0491-z;10.1007/s10270-015-0491-z;;"Process modeling; User; Usability; Data-centric; Evaluation; Review"
Journal Article;Reddy RC,Bhattacharjee B,Mishra D,Mandal A;A systematic literature review towards a conceptual framework for enablers and barriers of an enterprise data science strategy;Inf. Syst. E-bus. Manag.;Information systems and e-business management;2022;;;;"References;mestrado;mestrado/with pdf";;2022;1617-9846;1617-9854;http://dx.doi.org/10.1007/s10257-022-00550-x;10.1007/s10257-022-00550-x;;"Data science; Strategy; Enablers; Barriers; Digitalization"
Book;Red ER,Velasquez JA,Cruz JM,Figueroa JE;Web and Mobile Ticketing and Service Tracking for Customer Engagement of a Small Accounting Firm;;;2019;;;;"References;mestrado;mestrado/with pdf";;2019;;;http://dx.doi.org/10.1145/3332324.3332327;10.1145/3332324.3332327;The abundance of free technology tools that can be used to communicate of today's businesses are in way creating more confusion and redundant tasks which is not good for a striving small business. The study aims to serve as a single platform of communication tool for a small accounting firm, a website and mobile application were developed which are the capable of providing an online ticketing which can respond to customer concerns, a service tracking, and a tool that can aggregate reports of the firm's performance in providing services in the form of charts. Web Development Life Cycle (WDLC) was used as the process model in the development of the website and mobile application. Interview validated the business processes and supported the design of web and mobile applications. Development tools used for website and mobile application are Cascading Style Sheets (CSS), Hypertext Preprocessor (PHP), Android and MySQL for database. In order to evaluate the performance of the developed system, a usability evaluation was conducted with the customers and employees of the accounting firm using the criteria: communication, transaction, aesthetics, ease of use, information and maintainability. Evaluation result shows that majority of customers strongly agree on the efficiency of communication and transaction functionalities of the developed system with the need in the improvement of image and text. Meanwhile, the evaluation of website's back-end shows promising result as well with mostly strongly agreement except for the transaction criterion wherein the employees who used the developed system had difficulty in using the system. Overall, the visual components, management of tickets, management of service tracking and viewing of the aggregate reports in the form of charts are all beneficial to a small business so that they could focus on their core business and use the developed website and application in customer engagement.;
Book;Rimini G,Roberti P;Business process monitoring: BT Italy case study;;;2008;;;;"References;mestrado;mestrado/with pdf";;2008;;;http://dx.doi.org/10.1007/978-0-387-09712-1_25;10.1007/978-0-387-09712-1_25;This paper presents the case study of BT Italy, which has implemented a performance dashboard to monitor business processes to deliver customer services. Top Management had a punctual view of the business processes, performance, such as Order Acquisition, Order delivery. Nevertheless, it wanted to enhance the end-to-end view to take actions improving the customer experience and reducing the lead time. The project objective has been to build a model to monitor the performance of customer services business processes, such as from customer's service request to service delivery and bill. Higo has been the main framework to define and select key performance indicators. The first part of the paper presents the BT scenario, the second part describes the performance monitoring model and the performance dashboard. The last paragraph presents the expected benefits and the conclusion of the case study. © 2008 Springer Science+Business Media, LLC.;"Business Process Management; Higo; Key Performance Indicators; Performance dashboard"
Book;Razafimampianina RM,Nouinou S,Doukkali AS,Regragui B;A preliminary study on indicator framework for enterprise, based on COBIT 5 processes and SOA approach;;;2015;;;;"References;mestrado;mestrado/with pdf";;2015;;;http://dx.doi.org/10.1109/WICT.2015.7489652;10.1109/WICT.2015.7489652;Organizations become dependent on Information Technology (IT) to fulfill their corporate aims, meet their business needs and deliver value to customers. For effective and efficient utilization of IT, we intend to contribute to the alignment between IT and organizational strategies. The challenge is to make the enterprise and its Information System (IS) as responsive as possible within the regard to changes in enterprise while taking into account the enterprise operational performance. When a change happens or a new opportunity comes, organizations do not know which assets are linked to which business processes and which services, especially IT services, to bring up first and which can wait until later. Our principal aim is to propose an indicator framework to track and control business-IT alignment. However, this paper is a preliminary study on this framework. We are inspired by COBIT 5 processes as indicators and believe that the Service-Oriented Architecture (SOA) applied to these processes interlinks and can interact well the different processes. The validity and applicability of our theoretical study will be evaluated for future work.;
Journal Article;Ranaweera J,Zanin M,Weaving D,Withanage C,Roe G;Optimizing Player Management Processes in Sports: Translating Lessons from Healthcare Process Improvements to Sports;Int. J. Comput. Sci. Sport;International journal of computer science in sport;2021;;;;"References;mestrado;mestrado/with pdf";;2021;1684-4769;;http://dx.doi.org/10.2478/ijcss-2021-0008;10.2478/ijcss-2021-0008;Typical player management processes focus on managing an athlete's physical, physiological, psychological, technical and tactical preparation and performance. Current literature illustrates limited attempts to optimize such processes in sports. Therefore, this study aimed to analyze the application of Business Process Management (BPM) in healthcare (a service industry resembling sports) and formulate a model to optimize data driven player management processes in professional sports. A systematic review, adhering to PRISMA framework was conducted on articles extracted from seven databases, focused on using BPM to digitally optimize patient related healthcare processes. Literature reviews by authors was the main mode of healthcare process identification for BPM interventions. Interviews with process owners followed by process modelling were common modes of process discovery. Stakeholder and value-based analysis highlighted potential optimization areas. In most articles, details on process redesign strategies were not explicitly provided. New digital system developments and implementation of Business Process Management Systems were common. Optimized processes were evaluated using usability assessments and pre-post statistical analysis of key process performance indicators. However, the scientific rigor of most experiments designed for such latter evaluations were suboptimal. From the findings, a stepwise approach to optimize data driven player management processes in professional sports has been proposed. © 2021 J. Ranaweera et al., published by Sciendo.;"BUSINESS PROCESS MANAGEMENT; PATIENT MANAGEMENT; PLAYER MANAGEMENTSPORT INFORMATIC; SSPORTS PROCESS OPTIMIZATION"
Journal Article;Ramírez-Nafarrate A,González-Ramírez RG,Smith NR,Guerra-Olivares R,Voß S;Impact on yard efficiency of a truck appointment system for a port terminal;Ann. Oper. Res.;Annals of operations research;2017;;;;"References;mestrado;mestrado/with pdf";;2017;0254-5330;1572-9338;http://dx.doi.org/10.1007/s10479-016-2384-0;10.1007/s10479-016-2384-0;;"Port terminal operations; Truck appointment system; Discrete-event simulation; Landside coordination"
Book;Ramesh R;Achieving strategic objectives through operational modeling;;;2006;;;;"References;mestrado;mestrado/with pdf";;2006;;;http://dx.doi.org/10.1109/UTEMC.2006.5236198;10.1109/UTEMC.2006.5236198;An organization achieves competitive advantage by right strategic positioning and operational effectiveness. For the organization, the cost of its products and services is influenced by the effectiveness of the business processes that drive the organization. Effectively managing those processes, in the context of key performance measures, can reduce the cost and thereby ensuring organizational effectiveness. In this paper, we introduce a framework to identify the most effective actions that help translate strategy to organizational effectiveness.;
Journal Article;Ragazou K,Passas I,Garefalakis A,Zopounidis C;Business intelligence model empowering SMEs to make better decisions and enhance their competitive advantage;Discover Analytics;;2023;;;;"References;mestrado;mestrado/with pdf";;2023;;;http://dx.doi.org/10.1007/s44257-022-00002-3;10.1007/s44257-022-00002-3;Abstract Small and medium-sized businesses (SMEs) typically steer clear of implementing business intelligence (BI) systems because they feel that this sort of modeling is complicated and costly. But the market for business intelligence (BI) has evolved quickly. New opportunities like cloud computing have greatly lowered prices and eventually made it possible to design integrated solutions that are only intended for SMEs. In addition to highlighting the research trends in the sector under investigation, this paper explores the function of business intelligence in enhancing the decision-making process and competitive advantage of SMEs. The research subject has been approached using bibliometric analysis using the R package. The display of the results was done with the aid of Biblioshiny and VOSviewer's bibliometric tools. The study highlighted that SMEs have started integrating Business Intelligence systems. However, a new business model that will combine business analytics and will ensure to SMEs that emerging technologies will not affect them negatively is crucial. Thus, this research proposes the development of a new business model that will be based on Business Intelligence and Technology–organization–environment framework (TOE) framework, which helps SMEs to feel safe with emerging technologies.;"Business Intelligence Model; Competitive advantage; Decision—making process; Analytics; Emerging technologies; Efciency; Business continuity"
Journal Article;Radovic M,Camilovic S,Rakic Z,Simeunovic B,Tomasevic I,Stojanovic D;Process management as basis for quality management in service industry;Technics Technologies Education Management;;2012;;;;"References;mestrado;mestrado/with pdf";;2012;;;http://dx.doi.org/10.1108/eum0000000002808;10.1108/eum0000000002808;Service delivery processes and service consumption processes are partially and sometimes completely overlapped. This means that there is no room for quality control and prevention of other forms of poor quality output. This is why modern service quality management should be based on controlling the process of providing such services. The purpose of this paper is to propose a framework for managing service quality by tracking performance indicators of processes responsible for rendering observed services. The paper describes a case study of the managing service quality by managing processes in National Employment Agency in Serbia (NEA) and significant improvements of service quality were achieved through the application of proposed framework. This paper helps clarify how the quality of services can be managed in the process of their provision.;"Business process management; Job provision services; Process measurement and improvement; Service Quality Management"
Book;Quiroz-Flores JC,Carrasco-Morales KA,Aznarán-Sánchez SZ;Integrated BPM-TPM Maintenance Model to reduce over-time order rate in heavy-duty sector SMEs: A Research in Peru;;;2022;;;;"References;mestrado;mestrado/with pdf";;2022;;;http://dx.doi.org/10.1145/3524338.3524344;10.1145/3524338.3524344;The heavy freight transportation sector has been positioning itself stronger in the sector as a result of the increase in imports and exports in Peru, which has generated a 5.6% increase in its GDP. According to the above, it is essential to identify the stages of the processes, maintenance plan, availability of trucks, as well as the quality of freight transportation. A fundamental part of these considerations is the maintenance management and the restructuring of the stages of the service process, the model proposed by this research is the use of tools such as VSM, BPM, and TPM, whose main objective is to reduce the current rate of orders delivered out of time of 4.78 %, generated by a poor organization of the administrative and logistics area. After the implementation through a pilot plan within the company, a reduction of 0.72% was obtained.;
Book;Quiroz-Flores JC,Canales-Huaman DS,Gamio-Valdivia KG;Integrated Lean Logistics - Warehousing model to reduce Lead Time in an SME of food sector: A research in Peru;;;2022;;;;"References;mestrado;mestrado/with pdf";;2022;;;http://dx.doi.org/10.1145/3524338.3524366;10.1145/3524338.3524366;The food industry represented 2019 3.2% of the Gross Domestic Product (GDP) in Peru, in addition to presenting high employability being that the sector contained 7.4% of the Economically Active Population (EAP) [1]. However, due to the world crisis caused by COVID 19, this sector has been harmed in the year 2020 because the GDP of the accommodation and restaurants sector decreased by 50.2% compared to the previous year [2]. For that reason, strengthening this industry is considered crucial. One of the most critical links in the management of the supply chain of material, this problem results in the late delivery of orders to their customers, which would generate significant monetary losses and a bad reputation. In this sense, the present research proposes an integral improvement model based on the combination of tools such as the 5S ordering of raw material under a multi-criteria ABC approach, FEFO, MRP, Forecasting, and BPM, whose objective is to reduce the lead time. The model was validated through a simulation in Arena 16.1, where a reduction in delivery time and the frequency of extra purchases in 7.2% y 50%.;
Book;Prys M,Rózewski P;How to benefit more from business process documentation? Framework for calculation personality - process role fit;;;2022;;;;"References;mestrado;mestrado/with pdf";;2022;;;http://dx.doi.org/10.1016/j.procs.2022.09.378;10.1016/j.procs.2022.09.378;Business Process Management (BPM) is perceived as the spanning discipline that largely integrates and completes what previous disciplines have achieved (Brocke and Rosemann, 2014). As such, its integrating activities focused on to discover, model, analyse, measure, improve, optimize, and automate business processes (Weske, 2012). All of these enables implementing performance measurements within the organization, which in effect can lead to decision making based on data rather than people's opinion. © 2022 The Authors. Published by Elsevier B.V.;"BPMN; FFM; RIASEC"
Book;Pourshahid A,Amyot D,Peyton L,Ghanavati S,Chen P,Weiss M,Forster AJ;Toward an Integrated User Requirements Notation Framework and Tool forBusiness Process Management;;;2008;;;;"References;mestrado;mestrado/with pdf";;2008;;;http://dx.doi.org/10.1109/MCETECH.2008.30;10.1109/MCETECH.2008.30;A number of recent initiatives in both academia and industry have sought to achieve improvements in e- businesses through the utilization of Business Process Management (BPM) methodologies and tools. However there are still some inadequacies that need to be addressed when it comes to achieving alignment between business goals and business processes. The User Requirements Notation (URN) has some unique features and capabilities beyond what is available in other notations that can help address alignment issues. In this paper, a URN-based framework and its supporting toolset are introduced which provide business process monitoring and performance management capabilities integrated across the BPM lifecycle. The framework extends the URN notation with Key Performance Indicators (KPI) and other concepts to measure, and align processes and goals. A healthcare case study is used to illustrate and evaluate the framework. Early results indicate the feasibility of the approach.;
Book;Pourshahid A,Richards G,Amyot D;Toward a goal-oriented, business intelligence decision-making framework;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1007/978-3-642-20862-1_7;10.1007/978-3-642-20862-1_7;Decision making is a crucial yet challenging task in enterprise management. In many organizations, decisions are still made based on experience and intuition rather than on facts and rigorous approaches, often because of lack of data, unknown relationships between data and goals, conflicting goals, and poorly understood risks. This paper presents a goal-oriented, iterative conceptual framework for decision making that allows enterprises to begin development of their decision model with limited data, discover required data to build their model, capture stakeholders goals, and model risks and their impact. Such models enable the aggregation of Key Performance Indicators and their integration to goal models that display good cognitive fit. Managers can monitor the impact of decisions on organization goals and improve decision models. The approach is illustrated through a retail business real-life example. © 2011 Springer-Verlag Berlin Heidelberg.;"business intelligence; business process managemen; tdecision support systems; goal-oriented modeling; indicators"
Journal Article;Pourshahid A,Amyot D,Peyton L,Ghanavati S,Chen P,Weiss M,Forster AJ;Business process management with the user requirements notation;Electron. Commer. Res.;Electronic commerce research;2009;;;;"References;mestrado;mestrado/with pdf";;2009;1389-5753;1572-9362;http://dx.doi.org/10.1007/s10660-009-9039-z;10.1007/s10660-009-9039-z;A number of recent initiatives in both academia and industry have sought to achieve improvements in e-businesses through the utilization of Business Process Management (BPM) methodologies and tools. However there are still some inadequacies that need to be addressed when it comes to achieving alignment between business goals and business processes. The User Requirements Notation (URN), recently standardized by ITU-T, has some unique features and capabilities beyond what is available in other notations that can help address alignment issues. In this paper, a URN-based framework and its supporting toolset are introduced which provide business process monitoring and performance management capabilities integrated across the BPM lifecycle. The framework extends the URN notation with Key Performance Indicators (KPIs) and other concepts to measure and align processes and goals. An example process for controlling access to a healthcare data warehouse is used to illustrate and evaluate the framework. Early results indicate the feasibility of the approach. © 2009 Springer Science+Business Media, LLC.;"Business process management; Business process mode; lGoal-oriented business process monitoring; Performance management; User requirement notation"
Journal Article;Pourmirza S,Peters S,Dijkman R,Grefen P;BPMS-RA: A Novel Reference Architecture for Business Process Management Systems;ACM Trans. Internet Technol.;ACM transactions on Internet technology;2019;;;;"References;mestrado;mestrado/with pdf";;2019;1533-5399;1557-6051;http://dx.doi.org/10.1145/3232677;10.1145/3232677;A growing number of business process management systems is under development both in academia and in practice. These systems typically are based on modern system engineering principles, such as service-oriented architecture. At the same time, the advent of big data analytics has changed the scope of these systems, including functionality such as data mining. However, existing reference architectures for business process management systems date back 20 years and, consequently, are not up-to-date with these modern developments. To fill the gap, this article proposes an up-to-date reference architecture, called BPMS-RA, for modern business process management systems. BPMS-RA is based on analysis of recent literature and of existing commercial implementations. This reference architecture aims to provide a guideline template for the development of modern-day business process management systems by specifying functions and interfaces that need to be provided by these systems as well as a set of quality criteria that they need to meet.;
Book;Poppe E,Brown R,Recker J,Johnson D;Improving remote collaborative process modelling using embodiment in 3D virtual environments;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1007/978-94-007-0605-7_9;10.1007/978-94-007-0605-7_9;Identifying, modelling and documenting business processes usually require the collaboration of many stakeholders that may be spread across companies in inter-organizational settings. While modern process modelling technologies are starting to provide a number of features to support remote collaboration, they lack support for visual cues that are present in co-located collaboration. In this paper, we examine the importance of visual cues for collaboration tasks in collaborative process modelling from distributed remote locations. Based on this analysis, we present a prototype 3D virtual world process modelling tool that supports a number of visual cues to facilitate remote collaborative process model creation and validation. We report on a preliminary analysis of the technology and also describe the future direction of our research with regards to the theoretical contributions expected from the evaluation of the tool.;
Book;Popescu CR,Popescu GN;Theoretical contributions concerning performance-The way to achieve excellence;;;2014;;;;"References;mestrado;mestrado/with pdf";;2014;;;http://dx.doi.org/10.1057/9780230594241_10;10.1057/9780230594241_10;"Our research paper aims to present the subject concerning theoretical contributions regarding performance and the way to achieve excellence in a business organization. As research economists we strongly believe that the future of any type of society stands in its on-going power to generate performance and better anticipate the need of correct and reliable knowledge, in order to achieve excellence. Moreover, the ""art"" of generating excellence in a business organization means to generate useful value done through the process called generically the business process management. Business process management is a reliable source that can truly ensure competitiveness at an organization's level and generate performance and excellence. Our study starts with an introduction in which we emphasized the place of both performance and excellence in a business organization and which are the main triggers that generate performance and excellence; we continued with a literature review in which we have presented the opinions that academics, researchers and specialists regarding performance and excellence in a business organization; we presented the perspectives for a society in continuous development: from ""performance"" to ""excellence"", performance indicators, as drivers of nowadays society, the way to getting from the ""quality control"" to the ""total quality management"" and the one to getting from the ""total quality management"" to the ""managerial excellence"", as well as the evolution of quality standards: ISO 9000 family.";"Audit; Business organizations; Business process management; Competitiveness; Economy; Excellence; Global economic crisisInformatics; Innovation; ISO 9000 family; Managerial excellence; Performance; Quality control; Technology; Total quality management"
Journal Article;Pittarese T;Teaching business intelligence to computing students through a simulation and evolutionary lab sequence;J. Comput. Sci. Coll.;Journal of computing sciences in colleges;2015;;;;"References;mestrado;mestrado/with pdf";;2015;1937-4771;1937-4763;http://dx.doi.org/10.1016/0167-9287(93)90451-6;10.1016/0167-9287(93)90451-6;Business Intelligence (BI) techniques and workflow has changed significantly in the last few years. Due to the introduction of SAP HANA and other similar tools, real-time BI in support of business decision making is now possible. To develop student skill in real-time BI, and to allow them opportunity to see how BI techniques have evolved over the years, a semester-long BI-focused lab sequence has been employed alongside an ERP-based simulation game. The lab sequence allows computing students to see how their future work can support an organization's strategic planning and execution.;
Book;Pinheiro MG,Misaghi M;Proposal of a Framework of Lean Governance and Management of Enterprise IT;;;2014;;;;"References;mestrado;mestrado/with pdf";;2014;;;http://dx.doi.org/10.1145/2684200.2684367;10.1145/2684200.2684367;Technology and Information are vital to the success of companies. To leverage the successes in IT projects, companies have at their disposal, references globally accepted as good practices (COBIT, ITIL, PMBOK, ISO, TOGAF, etc.). In spite of this, it is still great the magnitude of spending on IT projects poorly designed or improperly implemented. This paper presents a brief description of standards and good practices related to governance and management of enterprise IT, defines the Lean Thinking, Lean IT, the Processes Management, the Portfolio, Program and Project Management, and the Work System Theory, and highlights the purpose of them, showing their characteristics and suggests a Framework of Lean Governance and Management of Enterprise IT, by demonstrating how the standards and good practices presented can work together, because it advocates that the Lean Thinking, the Process, Portfolio, Program, and Project Management, and the Work System Theory complement the standards and good practices of Governance and Management of Enterprise IT with an approach not referenced in these standards and good practices.;
Journal Article;Pika A,Leyer M,Wynn MT,Fidge CJ,Hofstede AH,Aalst WM;Mining Resource Profiles from Event Logs;ACM Trans. Manage. Inf. Syst.;;2017;;;;"References;mestrado;mestrado/with pdf";;2017;;;http://dx.doi.org/10.1145/3041218;10.1145/3041218;"In most business processes, several activities need to be executed by human resources and cannot be fully automated. To evaluate resource performance and identify best practices as well as opportunities for improvement, managers need objective information about resource behaviors. Companies often use information systems to support their processes, and these systems record information about process execution in event logs. We present a framework for analyzing and evaluating resource behavior through mining such event logs. The framework provides (1) a method for extracting descriptive information about resource skills, utilization, preferences, productivity, and collaboration patterns; (2) a method for analyzing relationships between different resource behaviors and outcomes; and (3) a method for evaluating the overall resource productivity, tracking its changes over time, and comparing it to the productivity of other resources. To demonstrate the applicability of our framework, we apply it to analyze employee behavior in an Australian company and evaluate its usefulness by a survey among industry managers.";
Book;Pidun T,Felden C;The Role of Performance Measurement Systems between Assessment Tool and Knowledge Repository;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1109/HICSS.2013.539;10.1109/HICSS.2013.539;Performance measurement is a knowledge intensive business process and performance measurement systems (PMS) are appropriate tools to collect relevant performance information. Though, the application of many PMS fails. Therefore, there is a vivid debate in the literature about the right design, implementation, and use of PMS. Other contributions describe specific obstacles in different contexts, but there is no thorough investigation of the underlying patterns, especially in the context of information supply. This paper delivers a literature review aiming at explicating the reasons for failure in order to identify patterns and implications for PMS improvement. The findings suggest that involved people have difficulties with the PMS and there the problem is not in PMS itself. They emphasize the need to improve the knowledge related side of performance. In particular, a lack of understanding of PMS results and purpose demands better information supply and quality to foster their personal and organizational adaption.;
Book;Pidun T,Felden C;Two Cases on How to Improve the Visibility of Business Process Performance;;;2012;;;;"References;mestrado;mestrado/with pdf";;2012;;;http://dx.doi.org/10.1109/HICSS.2012.608;10.1109/HICSS.2012.608;Performance measurement of business processes is necessary to ensure adequate information supply to the management. Though, the assessment of rather qualitative or non-deterministic processes is hard, because common analyzing and controlling approaches are restricted to the use of numeric indicators. Important qualitative performance aspects remain invisible. To bridge this gap, we introduce the concept of visibility which defines appropriate information supply in the domain of process performance. Derived from these requirements, we also present a multi-dimensional performance assessment system that combines numeric and verbal indicators. In two cases, we prove its applicability and positive contribution to performance visibility.;
Book;Pidun T,Felden C;An Overview of Models for Business Process Analysis – Beyond Performance Measurement with KPIs;;;2010;;;;"References;mestrado;mestrado/with pdf";;2010;;;http://dx.doi.org/10.1109/EDOCW.2010.48;10.1109/EDOCW.2010.48;Almost all of today's performance measurement systems (PMS) rely on the usage of numeric indicators to quantify success or failure, normally referred to as key performance indicators (KPIs). This restriction makes it difficult to describe hard-measurable or business processes that are rather qualitative in nature. So, other existing models for process analysis containing convenient solutions and indicators have to be assessed and validated in order to offer them to stakeholders to thoroughly assess business processes. In this article, various existing models and frameworks for performance measurement were reviewed in an empirical investigation, categorized in systems and put into context to relevant theories. The result of the research is an overview of models for business process analysis that also incorporates indirect process performance aspects like soft goals, complexity, maturity or dependencies.;
Book;Pidun T,Felden C;On the restriction to numeric indicators in Performance Measurement Systems;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1109/EDOCW.2011.16;10.1109/EDOCW.2011.16;Many business processes cannot be easily measured due to their non-deterministic or qualitative nature. So, to fit in common performance measurement systems (PMS), artificial and simplifying measures are used that are complicated and costly to create and evaluate. Using a literature review, this paper documents the dominance of PMS that rely on KPIs and a lack of those that also incorporate non-numeric, generic indicators that better address qualitative problems. Considering the need for better transparency and comparability of business processes as well as visibility of process performance, the final necessity of deployment for a refined PMS using additional indirect indicators is derived. It would be able to assess hidden performance problems and to reveal additional improvement possibilities. © 2011 IEEE.;"BPM; Indicator; KPI; Measurement paradigm; Performance Measurement System; Process Performance Management; Visibiliy"
Book;Pidun T,Felden C;Limitations of performance measurement systems based on key performance indicators;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1016/b978-075067473-7/50015-2;10.1016/b978-075067473-7/50015-2;Measuring performance is a key to optimize business processes. However, many of them cannot be easily measured due to their non-deterministic or qualitative nature. So, to fit in common performance measurement systems (PMS) that normally use numeric parameters (KPIs), artificial and simplifying measures have to be used that are complicated and costly to create and evaluate. Using a literature review, this paper documents the dominance of PMS that rely on KPIs and a lack of those that also incorporate non-numeric, generic indicators that better address qualitative problems. Combined with the discussion of different viewpoints to PMS properties as well as the demand for better transparency and comparability of business processes, the necessity of deployment for a refined PMS using additional indirect indicators is derived. It would be able to assess hidden performance problems and hence to reveal additional business process improvement possibilities.;"Business process management; Indicator KPI; Performance measurement system; Process performance management"
Book;Pidun T,Buder J,Felden C;Optimizing process performance visibility through additional descriptive features in performance measurement;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1109/EDOCW.2011.17;10.1109/EDOCW.2011.17;Measuring performance of business processes is necessary to access information on their efficacy. This enables successful optimization, reengineering and alignment on strategies. In general, measurement is done via numeric KPIs. Though, especially processes of a quantitative, nondeterministic or supportive nature are hard to describe via figures which leads to a reduced perception of performance problems. In this paper, the concept of visibility is presented. It fosters the development of a suitable Performance Assessment System (PAS) that broadens the range of indicators to e.g. goals, complexity, maturity, relations or dependencies in addition to KPIs to finally improve visibility of process performance. © 2011 IEEE.;"BPM; Business Performance Measuremen; tDescriptive; Generic; Goals; Indicator; Indirect; KPI; Metrics; Non-numeric; Ontologies; Performance; Performance Assessment System; Performance Measurement System; Process Performance; Management; Semantics; Visibility"
Book;Pichler H,Edre J;Towards Look-Ahead Strategies for Work Item Selection;;;2019;;;;"References;mestrado;mestrado/with pdf";;2019;;;http://dx.doi.org/10.1109/JEEIT.2019.8717485;10.1109/JEEIT.2019.8717485;We introduce look-ahead strategies to sort the work-items in work lists of process agents in order to improve key performance indicators for the execution of business processes. In contrast to well known strategies relying solely on local information like first-in first-out (FIFO) or earliest-deadline-first (EDF), our look-ahead approach utilizes structural, organizational, empirical, and current workload information of the process to provide a heuristics for computing recommendations for actors, which work-item should be selected next for execution. We describe the look ahead strategies and report and discuss the results of simulation experiments for checking the feasibility of the approach.;
Book;Pflug J,Rinderle-Ma S;Dynamic instance queuing in process-aware information systems;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1145/2480362.2480629;10.1145/2480362.2480629;Reducing the processing time of instances at critical activities is essential for many application domains. We refer to an activity as being critical if due to restricted resources assigned to the activity, the arrival of a certain number of process instances might lead to a waiting queue. So far, queuing has been adopted for process optimization in a merely static manner, i.e., the strategy in which order the instances are processed from the queue is fixed. We argue that determining the processing strategy for instance queues at runtime (dynamic queuing) offers the potential to reduce the processing time at critical activities. The core idea is that instances arriving at critical activities are first clustered based on similar features and are then distributed to dynamic queues accordingly. The decision on the processing order for the resulting queues requires a state management for allocating the appropriate number of resources during runtime. For this, a configurable performance index is used. The proposed dynamic queuing approach is prototypically implemented and evaluated based on a realistic data set.;
Book;Perez-Alvarez JM,Gomez-Lopez MT,Parody L,Gasca RM;Process Instance Query Language to Include Process Performance Indicators in DMN;;;2016;;;;"References;mestrado;mestrado/with pdf";;2016;;;http://dx.doi.org/10.1109/EDOCW.2016.7584381;10.1109/EDOCW.2016.7584381;Companies are increasingly incorporating commercial Business Process Management Systems (BPMSs) as mechanisms to automate their daily procedures. These BPMSs manage the information related to the instances that flow through the model (business data), and recover the information concerning the process performance (Process Performance Indicators). Process Performance Indicators (PPIs) tend to be used for the detection of possible deviations of expected behaviour, and help in the post-mortem analysis and redesign by improving the goals of the processes. However, not only are PPIs important in terms of their ability to measure and detect a derivation, but they should also be included at decision points to make the business processes more adaptable to the process reality at runtime. In this paper, we propose a complete solution that allows the incorporation of the PPIs into decision tasks, following the Decision Model and Notation (DMN) standard, with the aim of enriching the decisions that can be taken during the process execution. Our proposal firstly includes an extension of the decision rule grammar of the DMN standard, by incorporating the definition and the use of a Process Instance Query Language (PIQL) that offers information about the instances related to the PPIs involved. In order to achieve this objective, a framework has also been developed to support the enrichment of process instance query expressions (PIQEs). This framework combines a set of mature technologies to evaluate the decisions about PPIs at runtime. As an illustration a real sample has been used whose decisions are improved thanks to the incorporation of the PPIs at runtime. © 2016 IEEE.;"Business processes; Decision Model and Notation; Performance Indicators; Process Instance Query"
Journal Article;Pereira R,De Vasconcelos JB,Rocha Á,Bianchi IS;Business process management heuristics in IT service management: a case study for incident management;Comput. Math. Organ. Theory;Computational and mathematical organization theory;2021;;;;"References;mestrado;mestrado/with pdf";;2021;1381-298X;1572-9346;http://dx.doi.org/10.1007/s10588-021-09331-2;10.1007/s10588-021-09331-2;;"Information systems; Business process management; IT service management; Case study; Process improvement"
